Unnamed: 0,German,English
0,wie,as
1,ich,I
2,seine,his
3,dass,that
4,er,he
5,war,was
6,für,for
7,auf,on
8,sind,are
9,mit,with
10,sie,they
11,sein,be
12,bei,at
13,ein,one
14,haben,have
15,aus,from
16,durch,by
18,Wort,word
19,aber,but
20,was,what
21,einige,some
22,ist,is
23,es,it
24,Sie,you
25,oder,or
26,hatte,had
27,zu,to
28,und,and
29,ein,a
30,bei,in
31,wir,we
32,können,can
33,aus,out
34,andere,other
35,waren,were
36,die,which
37,tun,do
38,ihre,their
39,Zeit,time
40,werden,will
41,wie,how
42,sagte,said
43,ein,an
44,jeder,each
45,sagen,tell
46,tut,does
47,Satz,set
48,drei,three
49,wollen,want
50,Luft,air
51,gut,well
52,auch,also
53,spielen,play
54,klein,small
55,Ende,end
56,Zuhause,home
57,lesen,read
58,seits,hand
59,Hafen,port
60,groß,large
61,buchstabieren,spell
62,hinzufügen,add
63,auch,even
64,Lande,land
65,hier,here
66,muss,must
67,groß,big
68,hoch,high
69,so,such
70,folgen,follow
71,Akt,act
72,warum,why
73,fragen,ask
74,Männer,men
75,Veränderung,change
76,ging,went
77,Licht,light
78,Art,kind
79,aus,off
80,müssen,need
81,Haus,house
82,Bild,picture
83,versuchen,try
84,uns,us
85,wieder,again
86,Tier,animal
87,Punkt,point
88,Mutter,mother
89,Welt,world
90,in der Nähe von,near
91,bauen,build
92,selbst,self
93,Erde,earth
94,Vater,father
95,neu,new
96,Arbeit,work
97,Teil,part
99,erhalten,get
100,Ort,place
101,gemacht,made
102,leben,live
103,wo,where
104,nach,after
105,zurück,back
106,nur,only
107,Runde,round
108,Mann,man
109,Jahr,year
110,kam,came
111,jeder,every
112,gut,good
113,mir,me
114,geben,give
115,unsere,our
116,unter,under
117,Name,name
118,sehr,very
119,durch,through
120,nur,just
121,Satz,sentence
122,groß,great
123,denken,think
124,sagen,say
125,Hilfe,help
126,niedrig,low
127,Linie,line
128,abweichen,differ
129,wiederum,turn
130,Ursache,cause
131,viel,much
132,bedeuten,mean
133,vor,before
134,Umzug,move
135,Recht,right
137,alt,old
138,zu,too
139,gleich,same
140,sie,she
141,da,there
142,wenn,when
143,nach oben,up
144,Verwendung,use
145,Ihre,your
146,Weg,way
147,viele,many
148,dann,then
149,sie,them
150,schreiben,write
151,würde,would
152,wie,like
153,so,so
154,diese,these
156,lange,long
157,machen,make
158,Sache,thing
159,sehen,see
160,ihm,him
161,zwei,two
162,hat,has
163,suchen,look
164,mehr,more
165,Tag,day
166,könnte,could
167,gehen,go
168,kommen,come
169,tat,did
170,Anzahl,number
171,klingen,sound
172,nicht,no
173,Menschen,people
174,meine,my
175,über,over
176,Wasser,water
177,als,than
178,Anruf,call
179,erste,first
180,die,who
181,können,may
182,nach unten,down
183,Seite,side
184,jetzt,now
185,finden,find
186,Kopf,head
187,stehen,stand
188,besitzen,own
189,Seite,page
190,sollte,should
191,Land,country
192,gefunden,found
193,Antwort,answer
194,Schule,school
195,wachsen,grow
196,Studie,study
197,noch,still
198,lernen,learn
199,Anlage,plant
201,Lebensmittel,food
202,Sonne,sun
203,zwischen,between
204,Zustand,state
205,halten,keep
206,Auge,eye
207,nie,never
208,letzte,last
209,lassen,let
210,Gedanken,thought
211,Baum,tree
212,überqueren,cross
213,schwer,hard
214,Beginn,start
215,Macht,might
216,Geschichte,story
217,Säge,saw
218,weit,far
219,Meer,sea
220,ziehen,draw
221,links,left
222,spät,late
223,laufen,run
224,unterlassen Sie,don’t
225,während,while
226,Presse,press
227,Schließen,close
228,Nacht,night
229,realen,real
230,Leben,life
231,wenige,few
232,Norden,north
233,Buch,book
234,tragen,carry
235,Wissenschaft,science
236,essen,eat
237,Zimmer,room
238,Freund,friend
239,begann,began
240,Idee,idea
241,Fisch,fish
242,berg,mountain
243,Stopp,stop
244,einmal,once
245,Basis,base
246,hören,hear
247,Pferd,horse
248,Schnitt,cut
249,sicher,sure
250,beobachten,watch
251,Farbe,color
252,Gesicht,face
253,Holz,wood
254,Haupt-,main
255,geöffnet,open
256,scheinen,seem
257,zusammen,together
258,nächste,next
259,weiß,white
260,Kinder,children
261,Start,begin
262,gehen,walk
263,Beispiel,example
264,erleichtern,ease
265,Papier,paper
266,Gruppe,group
267,immer,always
268,Musik,music
269,diejenigen,those
270,Marke,mark
271,oft,often
272,bis,until
273,Meile,mile
274,Fluss,river
275,Auto,car
276,Füße,feet
277,Pflege,care
278,zweite,second
279,genug,enough
280,Ebene,plain
281,Mädchen,girl
282,üblich,usual
283,jung,young
284,bereit,ready
285,je,ever
286,rot,red
287,Liste,list
288,obwohl,though
289,fühlen,feel
290,Vortrag,talk
291,Vogel,bird
292,bald,soon
293,Körper,body
294,Hund,dog
295,Familie,family
296,direkt,direct
297,Pose,pose
298,verlassen,leave
299,Lied,song
300,messen,measure
301,Tür,door
302,Produkt,product
303,schwarz,black
304,kurz,short
305,Zahl,numeral
306,Klasse,class
307,Wind,wind
308,Frage,question
309,passieren,happen
310,vollständig,complete
311,Schiff,ship
312,Bereich,area
313,Hälfte,half
314,Stein,rock
315,bestellen,order
316,Feuer,fire
317,Süden,south
318,Problem,problem
319,Stück,piece
320,sagte,told
321,wusste,knew
322,passieren,pass
323,seit,since
324,obere,top
325,ganze,whole
326,König,king
327,Straße,street
328,Zoll,inch
329,multiplizieren,multiply
330,nichts,nothing
331,bleiben,stay
332,Rad,wheel
333,voll,full
334,Kraft,force
335,blau,blue
336,Objekt,object
337,entscheiden,decide
338,Oberfläche,surface
339,Mond,moon
340,Insel,island
341,Fuß,foot
342,System,system
343,beschäftigt,busy
344,Rekord,record
345,Boot,boat
346,gemeinsam,common
347,goldenen,gold
348,möglich,possible
349,Flugzeug,plane
350,statt,stead
351,trocken,dry
352,Wunder,wonder
353,Lachen,laugh
354,tausend,thousand
355,vor,ago
356,lief,ran
357,Spiel,game
358,Form,shape
359,gleichsetzen,equate
360,heiß,hot
361,Fehl,miss
362,Schnee,snow
363,Reifen,tire
364,bringen,bring
365,ja,yes
366,entfernt,distant
367,füllen,fill
368,Osten,east
369,malen,paint
370,unter,among
371,Einheit,unit
372,Macht,power
373,Stadt,town
374,fein,fine
375,sicher,certain
376,fliegen,fly
377,fallen,fall
378,führen,lead
379,Schrei,cry
380,dunkel,dark
381,Maschine,machine
382,warten,wait
383,Plan,plan
384,Abbildung,figure
385,Stern,star
386,Kasten,box
387,Nomen,noun
388,Feld,field
389,richtig,correct
390,fähig,able
391,Pfund,pound
392,getan,done
393,Schönheit,beauty
394,Antriebs,drive
395,stand,stood
396,enthalten,contain
397,Front,front
398,lehren,teach
399,Finale,final
400,gab,gave
401,grün,green
402,oh,oh
403,schnell,quick
404,entwickeln,develop
405,Ozean,ocean
406,warme,warm
407,kostenlos,free
408,Minute,minute
409,stark,strong
410,besondere,special
411,Geist,mind
412,hinter,behind
413,klar,clear
414,Schwanz,tail
415,Tatsache,fact
416,Raum,space
417,gehört,heard
418,beste,best
419,Stunde,hour
420,besser,better
421,wahr,TRUE
422,während,during
423,hundert,hundred
424,fünf,five
425,merken,remember
426,Schritt,step
427,früh,early
428,halten,hold
429,Westen,west
430,Interesse,interest
431,schnell,fast
432,Verbum,verb
433,singen,sing
434,hören,listen
435,sechs,six
436,Tabelle,table
437,Reise,travel
438,weniger,less
439,Morgen,morning
440,zehn,ten
441,einfach,simple
442,mehrere,several
443,Vokal,vowel
444,auf,toward
445,Krieg,war
446,legen,lay
447,gegen,against
448,Muster,pattern
449,Zentrum,center
450,Liebe,love
451,Person,person
452,Geld,money
453,dienen,serve
454,erscheinen,appear
455,Straße,road
456,Karte,map
457,regen,rain
458,regieren,govern
459,ziehen,pull
460,Kälte,cold
461,Hinweis,notice
462,Stimme,voice
463,Jagd,hunt
464,wahrscheinlich,probable
465,Bett,bed
466,Bruder,brother
467,Ei,egg
468,Fahrt,ride
469,Zelle,cell
470,glauben,believe
471,vielleicht,perhaps
472,pflücken,pick
473,plötzlich,sudden
474,zählen,count
475,Platz,square
476,Dauer,length
477,vertreten,represent
478,Kunst,art
479,Thema,subject
480,Region,region
481,Größe,size
482,variieren,vary
483,regeln,settle
484,sprechen,speak
485,Gewicht,weight
486,allgemein,general
488,Materie,matter
489,Kreis,circle
490,Paar,pair
491,umfassen,include
492,Silbe,syllable
493,Filz,felt
494,groß,grand
495,Kugel,ball
496,noch,yet
497,Welle,wave
498,fallen,drop
499,Herz,heart
500,Uhr,am
501,vorhanden,present
502,Tanz,dance
503,Motor,engine
504,Position,position
505,Arm,arm
506,breit,wide
507,Material,material
508,Fraktion,fraction
509,Wald,forest
510,sitzen,sit
511,Rennen,race
512,Fenster,window
513,Speicher,store
514,Sommer,summer
515,Zug,train
516,Schlaf,sleep
517,beweisen,prove
518,einsam,lone
519,Bein,leg
520,Übung,exercise
521,Wand,wall
522,Fang,catch
523,Berg,mount
524,wünschen,wish
525,Himmel,sky
526,Board,board
527,Freude,joy
528,Winter,winter
529,sa,sat
530,geschrieben,written
531,wilden,wild
532,gehalten,kept
533,Glas,glass
534,Gras,grass
535,Arbeit,job
536,Rand,edge
537,Zeichen,sign
538,Besuch,visit
539,Vergangenheit,past
540,weich,soft
541,Spaß,fun
542,hell,bright
543,Gases,gas
544,Wetter,weather
545,Monat,month
546,Million,million
547,tragen,bear
548,Finish,finish
549,glücklich,happy
550,hoffen,hope
551,blume,flower
552,kleiden,clothe
553,seltsam,strange
554,Vorbei,gone
555,Handel,trade
556,Melodie,melody
557,Reise,trip
558,Büro,office
559,empfangen,receive
560,Reihe,row
561,Mund,mouth
562,genau,exact
563,Zeichen,symbol
564,sterben,die
565,am wenigsten,least
566,Ärger,trouble
567,Schrei,shout
568,außer,except
569,schrieb,wrote
570,Samen,seed
571,Ton,tone
572,beitreten,join
573,vorschlagen,suggest
574,sauber,clean
575,Pause,break
576,Dame,lady
577,Hof,yard
578,steigen,rise
579,schlecht,bad
580,Schlag,blow
581,Öl,oil
582,Blut,blood
583,berühren,touch
584,wuchs,grew
585,Cent,cent
586,mischen,mix
587,Draht,wire
588,Kosten,cost
589,braun,brown
590,tragen,wear
591,Garten,garden
592,gleich,equal
593,gesendet,sent
594,wählen,choose
595,fiel,fell
596,passen,fit
597,Messe,fair
598,Bank,bank
599,sammeln,collect
600,sparen,save
601,Kontrolle,control
602,dezimal,decimal
603,Ohr,ear
604,sonst,else
605,ganz,quite
606,pleite,broke
607,Fall,case
608,Mitte,middle
609,Sohn,son
610,See,lake
611,Moment,moment
612,Maßstab,scale
613,laut,loud
614,Frühling,spring
615,beobachten,observe
616,Kind,child
617,gerade,straight
618,Konsonant,consonant
619,Nation,nation
620,milch,milk
621,Geschwindigkeit,speed
622,Verfahren,method
623,Orgel,organ
624,zahlen,pay
625,Alter,age
626,Abschnitt,section
627,Kleid,dress
628,Wolke,cloud
629,Überraschung,surprise
630,ruhig,quiet
631,Stein,stone
632,winzig,tiny
633,Aufstieg,climb
634,kühlen,cool
635,Entwurf,design
636,arm,poor
637,Menge,lot
638,Versuch,experiment
639,Boden,bottom
640,Schlüssel,key
641,Eisen,iron
642,Einzel,single
643,Stick,stick
644,Wohnung,flat
645,zwanzig,twenty
646,Haut,skin
647,Lächeln,smile
648,Falte,crease
649,springen,jump
650,Kind,baby
651,acht,eight
652,Dorf,village
653,treffen,meet
654,Wurzel,root
655,kaufen,buy
656,erhöhen,raise
657,lösen,solve
658,Metall,metal
659,ob,whether
660,drücken,push
661,sieben,seven
662,Absatz,paragraph
663,dritte,third
664,wird,shall
665,Haar,hair
666,beschreiben,describe
667,Koch,cook
668,Boden,floor
669,entweder,either
670,Ergebnis,result
671,Hügel,hill
672,sicher,safe
673,Katze,cat
674,Jahrhundert,century
675,betrachten,consider
676,Typ,type
677,Gesetz,law
678,Bit,bit
679,Küste,coast
680,Ausdruck,phrase
681,still,silent
682,hoch,tall
683,Sand,sand
684,Boden,soil
685,Rolle,roll
686,Temperatur,temperature
687,Finger,finger
688,Industrie,industry
689,Wert,value
690,Kampf,fight
691,Lüge,lie
692,begeistern,excite
693,natürlich,natural
694,Blick,view
695,Sinn,sense
696,Hauptstadt,capital
697,wird nicht,won’t
698,Achtung,danger
699,Obst,fruit
700,reich,rich
701,dick,thick
702,Soldat,soldier
703,Prozess,process
704,Praxis,practice
705,trennen,separate
706,schwierig,difficult
707,Arzt,doctor
708,Bitte,please
709,schützen,protect
710,Ernte,crop
711,modernen,modern
712,Elementes,element
713,treffen,hit
714,Schüler,student
715,Ecke,corner
716,Versorgung,supply
717,deren,whose
718,lokalisieren,locate
719,Rings,ring
720,Charakter,character
721,insekt,insect
722,gefangen,caught
723,Zeit,period
724,zeigen,indicate
725,Funk,radio
726,Speiche,spoke
727,Atom,atom
728,Mensch,human
729,Geschichte,history
730,Wirkung,effect
731,elektrisch,electric
732,erwarten,expect
733,Knochen,bone
734,Schiene,rail
735,vorstellen,imagine
736,bieten,provide
737,zustimmen,agree
738,so,thus
739,sanft,gentle
740,Frau,woman
741,Kapitän,captain
742,erraten,guess
743,erforderlich,necessary
744,scharf,sharp
745,Flügel,wing
746,schaffen,create
747,Nachbar,neighbor
748,Wasch,wash
749,Fledermaus,bat
750,eher,rather
751,Menge,crowd
752,mais,corn
753,vergleichen,compare
754,Gedicht,poem
755,Glocke,bell
756,abhängen,depend
757,Fleisch,meat
758,einreiben,rub
759,Rohr,tube
760,berühmt,famous
761,Dollar,dollar
762,Strom,stream
763,Angst,fear
764,Blick,sight
765,dünn,thin
766,Dreieck,triangle
767,Erde,planet
768,Eile,hurry
769,Chef,chief
770,Kolonie,colony
771,Uhr,clock
772,Mine,mine
773,Krawatte,tie
774,eingeben,enter
775,Dur,major
776,frisch,fresh
777,Suche,search
778,senden,send
779,gelb,yellow
780,Pistole,gun
781,erlauben,allow
782,Druck,print
784,Stelle,spot
785,Anzug,suit
786,Strom,current
787,Aufzug,lift
788,stiegen,rose
789,ankommen,arrive
790,Spur,track
791,Elternteil,parent
792,Ufer,shore
793,Teilung,division
794,Blatt,sheet
795,Substanz,substance
796,begünstigen,favor
797,verbinden,connect
798,nach,post
799,verbringen,spend
800,Akkord,chord
801,Fett,fat
802,Original,original
803,Aktie,share
804,Station,station
805,Papa,dad
806,Brot,bread
807,aufladen,charge
808,richtig,proper
809,Leiste,bar
810,Angebot,offer
811,Segment,segment
812,Sklave,slave
813,ente,duck
814,Augenblick,instant
815,Markt,market
816,Grad,degree
817,besiedeln,populate
818,küken,chick
819,liebe,dear
821,antworten,reply
822,Getränk,drink
824,Unterstützung,support
825,Rede,speech
826,Natur,nature
827,Angebot,range
828,Dampf,steam
829,Bewegung,motion
830,Weg,path
831,Flüssigkeit,liquid
832,protokollieren,log
833,gemeint,meant
834,Quotient,quotient
835,Gebiss,teeth
836,Schale,shell
837,Hals,neck
838,Sauerstoff,oxygen
839,Zucker,sugar
840,Tod,death
841,ziemlich,pretty
842,Geschicklichkeit,skill
843,Frauen,women
844,Saison,season
845,Lösung,solution
846,Magnet,magnet
847,Silber,silver
848,danken,thank
849,Zweig,branch
850,Spiel,match
851,Suffix,suffix
852,insbesondere,especially
854,ängstlich,afraid
855,riesig,huge
856,Schwester,sister
857,Stahl,steel
858,diskutieren,discuss
859,vorwärts,forward
860,ähnlich,similar
861,führen,guide
862,Erfahrung,experience
863,Partitur,score
864,apfel,apple
865,gekauft,bought
866,geführt,led
867,Tonhöhe,pitch
868,Mantel,coat
869,Karte,card
870,Band,band
871,Seil,rope
872,Rutsch,slip
873,gewinnen,win
874,träumen,dream
875,Abend,evening
876,Zustand,condition
877,Futtermittel,feed
878,Werkzeug,tool
879,gesamt,total
880,Basis,basic
881,Geruch,smell
882,Tal,valley
883,noch,nor
884,doppelt,double
885,Sitz,seat
886,Block,block
887,Tabelle,chart
888,Hut,hat
889,verkaufen,sell
890,Erfolg,success
891,Firma,company
892,subtrahieren,subtract
893,Veranstaltung,event
894,besondere,particular
895,viel,deal
896,schwimmen,swim
897,Begriff,term
898,Gegenteil,opposite
899,Frau,wife
900,Schuh,shoe
901,Verbreitung,spread
902,arrangieren,arrange
903,erfinden,invent
904,Baumwolle,cotton
905,geboren,born
906,bestimmen,determine
907,neun,nine
908,Lastwagen,truck
909,Lärm,noise
910,Ebene,level
911,Chance,chance
912,sammeln,gather
914,Stretch,stretch
915,werfen,throw
916,Glanz,shine
917,Immobilien,property
918,Molekül,molecule
919,wählen,select
920,falsch,wrong
921,grau,gray
922,Wiederholung,repeat
923,erfordern,require
924,breit,broad
925,vorbereiten,prepare
926,Salz,salt
927,Nase,nose
928,mehreren,plural
929,Zorn,anger
930,Anspruch,claim
931,Kontinent,continent
